temp_max,temp_min,precipitation,windspeed,humidity_max,humidity_min,date,year,month,NDVI
-0.4,-5.5,1.9,13.8,100,85,2019-01-01,2019,1,
-0.5,-7.9,6.1,13.7,93,72,2019-01-02,2019,1,
-3.8,-7.7,8.3,16.2,97,86,2019-01-03,2019,1,
-6.8,-8.5,3.0,11.5,94,82,2019-01-04,2019,1,
-2.9,-10.3,1.3,9.4,94,53,2019-01-05,2019,1,
-1.7,-5.0,14.2,15.8,98,83,2019-01-06,2019,1,
-5.2,-9.2,4.5,17.0,92,72,2019-01-07,2019,1,
-1.3,-14.6,1.1,13.7,92,47,2019-01-08,2019,1,
1.2,-3.7,5.9,13.3,98,75,2019-01-09,2019,1,
-2.9,-4.8,16.7,12.1,97,91,2019-01-10,2019,1,
-3.1,-5.4,3.1,7.9,94,84,2019-01-11,2019,1,
-2.5,-10.0,1.0,7.6,95,58,2019-01-12,2019,1,
1.7,-4.6,0.2,12.3,93,69,2019-01-13,2019,1,
2.9,-5.2,7.0,15.9,89,69,2019-01-14,2019,1,
-1.9,-7.0,1.2,15.5,91,56,2019-01-15,2019,1,
5.7,-7.3,0.0,13.0,89,42,2019-01-16,2019,1,
7.2,-4.9,0.0,14.8,83,43,2019-01-17,2019,1,
6.0,-0.9,1.8,19.6,100,68,2019-01-18,2019,1,
4.7,-1.4,1.6,7.0,99,70,2019-01-19,2019,1,
5.8,-1.7,0.6,9.0,99,63,2019-01-20,2019,1,
0.1,-2.2,0.0,7.6,99,93,2019-01-21,2019,1,
4.5,-2.1,1.6,5.9,97,67,2019-01-22,2019,1,
8.4,-0.9,1.4,12.7,97,51,2019-01-23,2019,1,
-0.0,-4.3,10.9,9.7,99,77,2019-01-24,2019,1,
-3.9,-7.0,18.0,13.0,97,87,2019-01-25,2019,1,
-4.2,-7.4,7.0,9.5,92,77,2019-01-26,2019,1,
7.9,-8.1,0.0,17.8,91,50,2019-01-27,2019,1,
9.3,0.3,1.5,24.0,92,59,2019-01-28,2019,1,
1.8,-1.5,1.2,9.4,99,80,2019-01-29,2019,1,
4.7,-2.6,0.1,8.4,99,71,2019-01-30,2019,1,
5.4,-2.5,0.0,12.2,95,51,2019-01-31,2019,1,
8.9,-0.5,0.0,27.4,85,61,2019-02-01,2019,2,0.42375934761644835
10.7,4.3,0.0,25.8,81,61,2019-02-02,2019,2,0.42375934761644835
13.6,2.6,2.3,24.5,90,47,2019-02-03,2019,2,0.42375934761644835
3.2,-1.0,21.8,9.6,99,87,2019-02-04,2019,2,0.42375934761644835
0.2,-1.7,1.1,7.3,99,93,2019-02-05,2019,2,0.42375934761644835
0.2,-1.3,2.5,10.1,100,95,2019-02-06,2019,2,0.42375934761644835
3.4,-6.3,0.0,8.2,98,71,2019-02-07,2019,2,0.42375934761644835
3.2,-7.1,0.0,10.8,95,67,2019-02-08,2019,2,0.42375934761644835
7.2,-4.8,0.0,9.2,96,44,2019-02-09,2019,2,0.42375934761644835
9.8,-3.9,0.0,20.2,92,47,2019-02-10,2019,2,0.42375934761644835
10.4,-0.3,18.6,22.9,99,58,2019-02-11,2019,2,0.42375934761644835
-0.0,-4.1,13.9,19.7,96,76,2019-02-12,2019,2,0.42375934761644835
-1.6,-9.6,5.2,20.0,94,63,2019-02-13,2019,2,0.42375934761644835
2.3,-10.2,0.4,14.8,95,65,2019-02-14,2019,2,0.42375934761644835
2.5,-2.2,8.4,16.2,99,82,2019-02-15,2019,2,0.42375934761644835
4.3,-7.4,0.0,6.5,92,63,2019-02-16,2019,2,0.42375934761644835
8.7,-6.6,0.0,11.5,87,40,2019-02-17,2019,2,0.42375934761644835
11.4,-4.9,0.0,12.6,95,39,2019-02-18,2019,2,0.42375934761644835
13.1,-3.5,0.0,13.4,95,22,2019-02-19,2019,2,0.42375934761644835
10.0,-5.0,0.0,12.3,92,49,2019-02-20,2019,2,0.42375934761644835
7.9,-2.8,0.0,9.5,88,50,2019-02-21,2019,2,0.42375934761644835
4.3,-3.6,13.7,22.7,100,84,2019-02-22,2019,2,0.42375934761644835
-5.4,-9.5,1.5,21.8,79,61,2019-02-23,2019,2,0.42375934761644835
-2.8,-17.3,0.0,9.9,76,47,2019-02-24,2019,2,0.42375934761644835
-1.8,-10.6,0.9,11.1,82,47,2019-02-25,2019,2,0.42375934761644835
7.2,-11.9,1.3,12.7,84,40,2019-02-26,2019,2,0.42375934761644835
4.6,-0.7,3.4,21.3,96,58,2019-02-27,2019,2,0.42375934761644835
13.0,-5.4,0.0,12.7,91,28,2019-02-28,2019,2,0.42375934761644835
12.5,-1.5,0.0,11.9,90,36,2019-03-01,2019,3,0.44953377929038757
6.7,1.5,1.0,12.4,85,69,2019-03-02,2019,3,0.44953377929038757
7.1,-1.6,0.0,12.2,94,58,2019-03-03,2019,3,0.44953377929038757
14.1,-1.7,0.0,22.9,91,32,2019-03-04,2019,3,0.44953377929038757
12.1,2.4,1.3,21.4,100,49,2019-03-05,2019,3,0.44953377929038757
13.6,1.3,0.1,14.8,95,33,2019-03-06,2019,3,0.44953377929038757
15.9,3.8,0.0,25.2,84,41,2019-03-07,2019,3,0.44953377929038757
17.5,7.3,0.0,22.8,63,37,2019-03-08,2019,3,0.44953377929038757
14.5,4.7,3.6,15.1,93,57,2019-03-09,2019,3,0.44953377929038757
16.5,4.9,0.0,24.6,88,31,2019-03-10,2019,3,0.44953377929038757
10.8,0.0,20.8,20.8,100,70,2019-03-11,2019,3,0.44953377929038757
1.3,-5.7,9.7,19.5,100,62,2019-03-12,2019,3,0.44953377929038757
7.7,-8.9,0.0,10.0,88,29,2019-03-13,2019,3,0.44953377929038757
5.6,-4.1,0.3,12.3,89,51,2019-03-14,2019,3,0.44953377929038757
8.7,-6.5,0.0,13.4,85,42,2019-03-15,2019,3,0.44953377929038757
16.1,-1.4,0.0,14.0,84,37,2019-03-16,2019,3,0.44953377929038757
19.6,2.2,0.0,19.7,86,29,2019-03-17,2019,3,0.44953377929038757
17.4,5.2,0.0,21.2,88,34,2019-03-18,2019,3,0.44953377929038757
11.9,2.0,0.0,12.8,93,49,2019-03-19,2019,3,0.44953377929038757
5.5,1.7,0.1,10.6,95,72,2019-03-20,2019,3,0.44953377929038757
8.9,0.7,0.0,10.0,95,49,2019-03-21,2019,3,0.44953377929038757
11.3,-3.4,0.0,10.8,95,33,2019-03-22,2019,3,0.44953377929038757
13.6,-0.9,0.0,12.1,86,49,2019-03-23,2019,3,0.44953377929038757
15.9,-0.3,0.0,12.6,88,24,2019-03-24,2019,3,0.44953377929038757
18.0,1.1,0.0,14.1,78,23,2019-03-25,2019,3,0.44953377929038757
6.2,-0.3,1.9,15.4,98,54,2019-03-26,2019,3,0.44953377929038757
8.0,-0.8,0.0,14.1,84,39,2019-03-27,2019,3,0.44953377929038757
8.7,-1.8,0.0,14.3,77,35,2019-03-28,2019,3,0.44953377929038757
10.1,-0.7,0.0,15.1,71,32,2019-03-29,2019,3,0.44953377929038757
13.1,1.3,0.0,12.0,83,36,2019-03-30,2019,3,0.44953377929038757
15.9,-1.0,0.0,9.8,92,29,2019-03-31,2019,3,0.44953377929038757
16.9,-0.2,0.0,10.3,86,28,2019-04-01,2019,4,0.5401242850015413
17.9,-0.4,0.1,11.5,86,28,2019-04-02,2019,4,0.5401242850015413
17.9,4.7,0.0,11.9,81,24,2019-04-03,2019,4,0.5401242850015413
16.4,3.0,0.0,16.9,93,32,2019-04-04,2019,4,0.5401242850015413
15.2,4.2,1.8,22.1,90,46,2019-04-05,2019,4,0.5401242850015413
18.0,4.9,5.4,11.2,93,36,2019-04-06,2019,4,0.5401242850015413
16.9,6.0,3.0,11.2,98,44,2019-04-07,2019,4,0.5401242850015413
13.3,4.4,10.3,7.1,100,66,2019-04-08,2019,4,0.5401242850015413
11.0,6.3,23.8,12.0,100,85,2019-04-09,2019,4,0.5401242850015413
16.3,5.9,8.9,9.7,100,57,2019-04-10,2019,4,0.5401242850015413
