temp_max,temp_min,precipitation,windspeed,humidity_max,humidity_min,date,NDVI
-0.6,-5.7,1.9,13.8,100,85,2019-01-01,-0.01321087923346096
-0.7,-8.1,6.1,13.7,93,72,2019-01-02,-0.01321087923346096
-4.0,-7.9,8.3,16.2,97,86,2019-01-03,-0.01321087923346096
-7.0,-8.7,3.0,11.5,94,82,2019-01-04,-0.01321087923346096
-3.1,-10.5,1.3,9.4,94,53,2019-01-05,-0.01321087923346096
-1.9,-5.2,14.2,15.8,98,83,2019-01-06,-0.01321087923346096
-5.4,-9.4,4.5,17.0,92,72,2019-01-07,-0.01321087923346096
-1.5,-14.8,1.1,13.7,92,47,2019-01-08,-0.01321087923346096
1.0,-3.9,5.9,13.3,98,75,2019-01-09,-0.01321087923346096
-3.1,-5.0,16.7,12.1,97,91,2019-01-10,-0.01321087923346096
-3.3,-5.6,3.1,7.9,94,84,2019-01-11,-0.01321087923346096
-2.7,-10.2,1.0,7.6,95,58,2019-01-12,-0.01321087923346096
1.5,-4.8,0.2,12.3,93,69,2019-01-13,-0.01321087923346096
2.7,-5.4,7.0,15.9,89,69,2019-01-14,-0.01321087923346096
-2.1,-7.2,1.2,15.5,91,56,2019-01-15,-0.01321087923346096
5.5,-7.5,0.0,13.0,89,42,2019-01-16,-0.01321087923346096
7.0,-5.1,0.0,14.8,83,43,2019-01-17,-0.01321087923346096
5.8,-1.1,1.8,19.6,100,68,2019-01-18,-0.01321087923346096
4.5,-1.6,1.6,7.0,99,70,2019-01-19,-0.01321087923346096
5.6,-1.9,0.6,9.0,99,63,2019-01-20,-0.01321087923346096
-0.1,-2.4,0.0,7.6,99,93,2019-01-21,-0.01321087923346096
4.3,-2.3,1.6,5.9,97,67,2019-01-22,-0.01321087923346096
8.2,-1.1,1.4,12.7,97,51,2019-01-23,-0.01321087923346096
-0.2,-4.5,10.9,9.7,99,77,2019-01-24,-0.01321087923346096
-4.1,-7.2,18.0,13.0,97,87,2019-01-25,-0.01321087923346096
-4.4,-7.6,7.0,9.5,92,77,2019-01-26,-0.01321087923346096
7.7,-8.3,0.0,17.8,91,50,2019-01-27,-0.01321087923346096
9.1,0.1,1.5,24.0,92,59,2019-01-28,-0.01321087923346096
1.6,-1.7,1.2,9.4,99,80,2019-01-29,-0.01321087923346096
4.5,-2.8,0.1,8.4,99,71,2019-01-30,-0.01321087923346096
5.2,-2.7,0.0,12.2,95,51,2019-01-31,-0.01321087923346096
8.7,-0.7,0.0,27.4,85,61,2019-02-01,0.37827583345093563
10.5,4.1,0.0,25.8,81,61,2019-02-02,0.37827583345093563
13.4,2.4,2.3,24.5,90,47,2019-02-03,0.37827583345093563
3.0,-1.2,21.8,9.6,99,87,2019-02-04,0.37827583345093563
0.0,-1.9,1.1,7.3,99,93,2019-02-05,0.37827583345093563
0.0,-1.5,2.5,10.1,100,95,2019-02-06,0.37827583345093563
3.2,-6.5,0.0,8.2,98,71,2019-02-07,0.37827583345093563
3.0,-7.3,0.0,10.8,95,67,2019-02-08,0.37827583345093563
7.0,-5.0,0.0,9.2,96,44,2019-02-09,0.37827583345093563
9.6,-4.1,0.0,20.2,92,47,2019-02-10,0.37827583345093563
10.2,-0.5,18.6,22.9,99,58,2019-02-11,0.37827583345093563
-0.2,-4.3,13.9,19.7,96,76,2019-02-12,0.37827583345093563
-1.8,-9.8,5.2,20.0,94,63,2019-02-13,0.37827583345093563
2.1,-10.4,0.4,14.8,95,65,2019-02-14,0.37827583345093563
2.3,-2.4,8.4,16.2,99,82,2019-02-15,0.37827583345093563
4.1,-7.6,0.0,6.5,92,63,2019-02-16,0.37827583345093563
8.5,-6.8,0.0,11.5,87,40,2019-02-17,0.37827583345093563
11.2,-5.1,0.0,12.6,95,39,2019-02-18,0.37827583345093563
12.9,-3.7,0.0,13.4,95,22,2019-02-19,0.37827583345093563
9.8,-5.2,0.0,12.3,92,49,2019-02-20,0.37827583345093563
7.7,-3.0,0.0,9.5,88,50,2019-02-21,0.37827583345093563
4.1,-3.8,13.7,22.7,100,84,2019-02-22,0.37827583345093563
-5.6,-9.7,1.5,21.8,79,61,2019-02-23,0.37827583345093563
-3.0,-17.5,0.0,9.9,76,47,2019-02-24,0.37827583345093563
-2.0,-10.8,0.9,11.1,82,47,2019-02-25,0.37827583345093563
7.0,-12.1,1.3,12.7,84,40,2019-02-26,0.37827583345093563
4.4,-0.9,3.4,21.3,96,58,2019-02-27,0.37827583345093563
12.8,-5.6,0.0,12.7,91,28,2019-02-28,0.37827583345093563
12.3,-1.7,0.0,11.9,90,36,2019-03-01,0.4432800164027702
6.5,1.3,1.0,12.4,85,69,2019-03-02,0.4432800164027702
6.9,-1.8,0.0,12.2,94,58,2019-03-03,0.4432800164027702
13.9,-1.9,0.0,22.9,91,31,2019-03-04,0.4432800164027702
11.9,2.2,1.3,21.4,100,49,2019-03-05,0.4432800164027702
13.4,1.1,0.1,14.8,95,33,2019-03-06,0.4432800164027702
15.7,3.6,0.0,25.2,84,41,2019-03-07,0.4432800164027702
17.3,7.1,0.0,22.8,63,36,2019-03-08,0.4432800164027702
14.3,4.5,3.6,15.1,93,57,2019-03-09,0.4432800164027702
16.3,4.7,0.0,24.6,88,31,2019-03-10,0.4432800164027702
10.6,-0.2,20.8,20.8,100,70,2019-03-11,0.4432800164027702
1.1,-5.9,9.7,19.5,100,62,2019-03-12,0.4432800164027702
7.5,-9.1,0.0,10.0,88,29,2019-03-13,0.4432800164027702
5.4,-4.3,0.3,12.3,88,51,2019-03-14,0.4432800164027702
8.5,-6.7,0.0,13.4,85,42,2019-03-15,0.4432800164027702
15.9,-1.6,0.0,14.0,84,37,2019-03-16,0.4432800164027702
19.4,2.0,0.0,19.7,86,29,2019-03-17,0.4432800164027702
17.2,5.0,0.0,21.2,88,34,2019-03-18,0.4432800164027702
11.7,1.8,0.0,12.8,93,49,2019-03-19,0.4432800164027702
5.3,1.5,0.1,10.6,95,72,2019-03-20,0.4432800164027702
8.7,0.5,0.0,10.0,95,49,2019-03-21,0.4432800164027702
11.1,-3.6,0.0,10.8,95,33,2019-03-22,0.4432800164027702
13.4,-1.1,0.0,12.1,86,49,2019-03-23,0.4432800164027702
15.7,-0.5,0.0,12.6,88,24,2019-03-24,0.4432800164027702
17.8,0.9,0.0,14.1,78,23,2019-03-25,0.4432800164027702
6.0,-0.5,1.9,15.4,98,54,2019-03-26,0.4432800164027702
7.8,-1.0,0.0,14.1,84,39,2019-03-27,0.4432800164027702
8.5,-2.0,0.0,14.3,77,34,2019-03-28,0.4432800164027702
9.9,-0.9,0.0,15.1,71,32,2019-03-29,0.4432800164027702
12.9,1.1,0.0,12.0,83,36,2019-03-30,0.4432800164027702
15.7,-1.2,0.0,9.8,92,29,2019-03-31,0.4432800164027702
16.7,-0.4,0.0,10.3,86,28,2019-04-01,0.5557905842839669
17.7,-0.6,0.1,11.5,86,28,2019-04-02,0.5557905842839669
17.7,4.5,0.0,11.9,81,24,2019-04-03,0.5557905842839669
16.2,2.8,0.0,16.9,93,32,2019-04-04,0.5557905842839669
15.0,4.0,1.8,22.1,90,46,2019-04-05,0.5557905842839669
17.8,4.7,5.4,11.2,93,36,2019-04-06,0.5557905842839669
16.7,5.8,3.0,11.2,98,44,2019-04-07,0.5557905842839669
13.1,4.2,10.3,7.1,100,66,2019-04-08,0.5557905842839669
10.8,6.1,23.8,12.0,100,85,2019-04-09,0.5557905842839669
16.1,5.7,8.9,9.7,100,57,2019-04-10,0.5557905842839669
13.3,5.7,7.2,9.7,100,45,2019-04-11,0.5557905842839669
9.9,4.0,4.0,12.8,100,71,2019-04-12,0.5557905842839669
8.3,2.7,1.5,10.8,100,68,2019-04-13,0.5557905842839669
6.5,3.2,1.4,8.8,100,81,2019-04-14,0.5557905842839669
9.5,5.0,7.4,14.8,100,75,2019-04-15,0.5557905842839669
11.7,3.5,1.7,12.3,100,37,2019-04-16,0.5557905842839669
12.2,-0.6,0.4,14.0,88,32,2019-04-17,0.5557905842839669
10.8,2.5,7.1,13.2,100,61,2019-04-18,0.5557905842839669
14.5,0.6,0.3,16.9,96,36,2019-04-19,0.5557905842839669
14.6,1.2,0.0,16.5,85,30,2019-04-20,0.5557905842839669
16.3,-0.9,0.0,10.9,87,29,2019-04-21,0.5557905842839669
18.9,2.8,0.0,13.3,88,25,2019-04-22,0.5557905842839669
17.2,8.0,1.5,19.2,99,48,2019-04-23,0.5557905842839669
20.8,8.4,1.4,18.0,80,38,2019-04-24,0.5557905842839669
23.1,8.9,0.1,14.4,91,30,2019-04-25,0.5557905842839669
24.9,7.9,0.0,14.1,88,22,2019-04-26,0.5557905842839669
17.8,6.7,9.9,13.9,100,57,2019-04-27,0.5557905842839669
14.5,3.4,2.1,9.0,97,49,2019-04-28,0.5557905842839669
13.8,2.5,4.5,7.1,100,53,2019-04-29,0.5557905842839669
11.4,4.8,9.4,13.2,100,51,2019-04-30,0.5557905842839669
