temp_max,temp_min,precipitation,windspeed,latitude,longitude,humidity_max,humidity_min,date
15.7,3.9,0.0,13.0,93,69,44.7866,20.4489,2023-01-01
15.4,2.9,0.0,9.3,96,71,44.7866,20.4489,2023-01-02
12.4,4.7,0.0,13.3,98,72,44.7866,20.4489,2023-01-03
9.5,2.9,0.0,9.8,100,74,44.7866,20.4489,2023-01-04
11.5,1.6,0.4,15.6,93,62,44.7866,20.4489,2023-01-05
12.1,4.7,0.1,15.9,93,56,44.7866,20.4489,2023-01-06
12.8,2.3,0.0,12.4,92,70,44.7866,20.4489,2023-01-07
12.0,1.6,0.0,13.8,100,65,44.7866,20.4489,2023-01-08
9.7,4.4,3.3,28.5,86,70,44.7866,20.4489,2023-01-09
9.1,4.5,10.0,29.0,97,72,44.7866,20.4489,2023-01-10
5.6,3.1,17.2,21.9,96,86,44.7866,20.4489,2023-01-11
5.7,1.5,0.0,10.6,97,81,44.7866,20.4489,2023-01-12
9.3,1.1,0.0,13.6,97,67,44.7866,20.4489,2023-01-13
6.0,1.6,2.1,13.2,98,89,44.7866,20.4489,2023-01-14
9.8,3.2,0.0,19.5,96,61,44.7866,20.4489,2023-01-15
8.5,2.5,5.5,28.0,84,60,44.7866,20.4489,2023-01-16
13.1,5.8,3.5,29.5,85,60,44.7866,20.4489,2023-01-17
14.6,8.6,7.1,26.3,92,65,44.7866,20.4489,2023-01-18
13.6,4.0,1.7,22.9,90,66,44.7866,20.4489,2023-01-19
3.7,-0.1,16.6,19.5,100,82,44.7866,20.4489,2023-01-20
3.5,0.0,3.5,14.8,95,85,44.7866,20.4489,2023-01-21
4.4,0.1,0.0,10.7,100,82,44.7866,20.4489,2023-01-22
7.5,3.7,5.7,30.9,96,73,44.7866,20.4489,2023-01-23
3.7,-0.0,2.2,22.2,91,71,44.7866,20.4489,2023-01-24
3.2,-0.6,0.0,15.1,83,67,44.7866,20.4489,2023-01-25
1.4,0.1,1.8,22.2,89,68,44.7866,20.4489,2023-01-26
1.5,-0.1,5.4,13.9,96,84,44.7866,20.4489,2023-01-27
1.6,-0.2,1.7,17.2,96,85,44.7866,20.4489,2023-01-28
2.6,0.4,1.4,16.3,97,75,44.7866,20.4489,2023-01-29
2.7,-2.5,0.0,8.7,91,59,44.7866,20.4489,2023-01-30
5.7,-0.1,1.9,24.0,88,62,44.7866,20.4489,2023-01-31
8.2,0.1,0.9,16.5,95,55,44.7866,20.4489,2023-02-01
5.6,1.5,4.9,19.9,92,72,44.7866,20.4489,2023-02-02
6.0,0.3,2.1,22.8,94,56,44.7866,20.4489,2023-02-03
5.1,-0.8,8.5,36.8,91,53,44.7866,20.4489,2023-02-04
-0.0,-4.0,0.2,25.1,74,49,44.7866,20.4489,2023-02-05
0.1,-5.5,0.0,16.6,79,54,44.7866,20.4489,2023-02-06
0.3,-6.0,0.0,12.5,90,51,44.7866,20.4489,2023-02-07
1.8,-5.5,0.0,11.7,82,48,44.7866,20.4489,2023-02-08
2.1,-5.2,0.0,19.5,79,40,44.7866,20.4489,2023-02-09
2.5,-6.3,0.0,11.4,88,37,44.7866,20.4489,2023-02-10
4.3,-5.8,0.0,10.2,87,40,44.7866,20.4489,2023-02-11
6.8,-1.8,0.7,14.5,92,52,44.7866,20.4489,2023-02-12
8.3,-3.0,0.0,11.2,94,52,44.7866,20.4489,2023-02-13
6.4,-1.1,0.0,15.0,95,69,44.7866,20.4489,2023-02-14
8.1,-0.8,0.0,12.1,96,58,44.7866,20.4489,2023-02-15
11.5,-1.1,0.0,10.2,91,63,44.7866,20.4489,2023-02-16
12.7,0.4,0.0,13.7,94,51,44.7866,20.4489,2023-02-17
14.5,4.7,0.2,16.3,75,52,44.7866,20.4489,2023-02-18
14.6,5.3,3.9,20.7,85,54,44.7866,20.4489,2023-02-19
11.6,3.4,0.2,18.8,89,51,44.7866,20.4489,2023-02-20
16.2,5.1,0.0,14.6,84,52,44.7866,20.4489,2023-02-21
14.7,3.9,0.0,11.7,92,55,44.7866,20.4489,2023-02-22
14.2,3.3,0.0,19.1,93,55,44.7866,20.4489,2023-02-23
15.5,4.6,4.6,18.6,93,49,44.7866,20.4489,2023-02-24
13.3,2.4,21.9,24.8,97,57,44.7866,20.4489,2023-02-25
2.8,0.8,14.3,15.5,100,89,44.7866,20.4489,2023-02-26
3.4,-1.1,6.0,15.3,100,68,44.7866,20.4489,2023-02-27
4.2,-1.6,0.8,9.3,93,76,44.7866,20.4489,2023-02-28
9.3,2.6,0.0,23.0,94,66,44.7866,20.4489,2023-03-01
